algorithm,agents,averageregret
Seed Sampling,1,25.4
Seed Sampling,2,20.1
Seed Sampling,5,17.6
Seed Sampling,10,15.2
Thompson Sampling,1,40.6
Thompson Sampling,2,40.6
Thompson Sampling,5,35.78
Thompson Sampling,10,33.8
UCB,1,32.4
UCB,2,31.4
UCB,5,28.9
UCB,10,25.2

150 H
UCB,1,126
UCB,10,120.46666666666667
UCB,100,50.29
UCB,1000,5.022
UCB,10000,.497
Thompson Sampling,1,225.0
Thompson Sampling,10,225.0
Thompson Sampling,100,224.24038821726546
Thompson Sampling,1000,224.61960115902505
Thompson Sampling,10000,223.69318606323841
# Think should redo these making sure to rerun the init.
Seed Sampling,1,123.56
Seed Sampling,10,119.96
Seed Sampling,100,49
Seed Sampling,1000,4.97
Seed Sampling,10000,.49
